tau1,tau2,tau3,tau4,p1,p2,p3,p4,g1,g2,g3,g4,stab,class
7.9037771289021395,8.45467761394191,9.40129134067439,0.6466459753955021,4.52057565696139,-1.6456972869072,-1.03060979104193,-1.8442685790122602,0.659952516500457,0.964074000237889,0.164645686220224,0.6552622475127149,0.0292150794910223,unstable
4.123570086312919,3.57896380726711,5.945063464568469,8.65421781839115,4.905181996710731,-1.10286901045241,-1.9353346244649101,-1.86697836179341,0.5688074251453629,0.6051173766275689,0.8145531618903109,0.48231414926796706,0.0554721767741439,unstable
3.36979299370438,6.094729050647009,6.78480652580883,6.393625941468249,3.4410606907308297,-1.4217659581649802,-0.902167469679448,-1.1171272628864,0.129831684236551,0.8852624549042858,0.28205553809188105,0.325693160971964,0.0303369207957574,unstable
6.23626444810352,6.75424353623936,3.89057110026937,4.25640921214878,3.99193302160038,-1.3219273740442599,-0.9398060236967979,-1.73019962385932,0.7606443354271429,0.0663426960494171,0.194635489763924,0.697302315391625,0.0250124212974847,unstable
5.32502603304763,9.40527565450658,4.00890927095438,5.26695820731133,4.17037813841955,-1.7761855206845802,-1.4733629553808898,-0.9208296623540809,0.9052407553394449,0.997170285223663,0.6946110767085331,0.9040724614751509,0.0937510285244222,unstable
8.71601406463004,7.02481980952335,2.07196462787095,3.3907273126389503,4.9147531522637005,-1.91200994601927,-1.5711217945659302,-1.4316214116784998,0.325266771799409,0.7199476498483799,0.864950625841396,0.41924734391383606,0.0102918348726192,unstable
1.01046335739481,4.65141045522523,6.84416326780074,3.4801201192975,4.846469185516121,-1.4323874661213702,-1.4867550101514,-1.92732670924335,0.48466500986447,0.272703261058328,0.8447175208994581,0.5903165700291091,0.0106373790644161,unstable
8.87988676526217,4.74500360188828,4.09377113658921,5.532323452975019,2.07816226971051,-0.88218827891351,-0.574112432174606,-0.62186155862239,0.5093402255302589,0.369334475441937,0.841621160917664,0.573907892221957,0.0492932753409592,unstable
1.84627222182654,8.9311318427344,5.519827841672,9.61790827923392,4.46841581492072,-1.0940061044634202,-1.65254619633419,-1.7218635141231102,0.28393701976714103,0.549611871002323,0.286226636525206,0.0724006430983893,-0.0167960167027438,stable
5.41883535495492,4.84511025360929,5.1712729475144,8.46316175567826,4.75052304975664,-1.93119943667005,-1.91231009083044,-0.9070135222561542,0.481417690547951,0.561527478483564,0.800248214573387,0.37787504455162607,0.0570845391641861,unstable
